,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
613,Adults,Higher Language Skills,Higher Language Skills,,Manti et al 2023,2023,Understanding of metaphors,,,accuracy measures (correct response rates) are taken.,,,,2.3,3.4,7,1311,278,At T0 (before resume strict diet),5,3.1,7,"SD from De Felice et al 2018, Metaphor Picture?",1.123051947,,-1,-0.82,,0,,NA,,,,,,,,,
614,Adults,Language accuracy,Language accuracy,,Manti et al 2023,2023, Naming-accuracy,,,,Continuous picture naming (corr. Max - 165),,,123.3,17.1,7,1311,278,At T0 (before resume strict diet),146.3,15,7,NA,,,-1,-1.44,,0,,NA,,,,,,,,,
615,Adults,Language accuracy,Language accuracy,,Manti et al 2023,2023,Nonword reading-accuracy,,,,Non-word reading (corr. Max = 40),,,39.6,0.5,7,1311,278,At T0 (before resume strict diet),40,0.5,7,used PKU SD,,,-1,-0.75,,0,,NA,,,,,,,,,
616,Adults,Language accuracy,Language accuracy,,Manti et al 2023,2023,Spelling,,,Corr. Max = 30,,,,29.1,1.6,7,1311,278,At T0 (before resume strict diet),30,0,7,NA,,,-1,-0.55,,0,,NA,,,,,,,,,
617,Adults,Language accuracy,Language accuracy,,Manti et al 2023,2023,Word reading-Accuracy,accuracy,,,Word reading (corr. Max = 40),,,39.6,0.5,7,1311,278,At T0 (before resume strict diet),40,0.32,7,from Palermo et al 2017,,,-1,-1.17,,0,,NA,,,,,,,,,
618,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,,Manti et al 2023,2023,Simple detection-RT,speed,,RT,,,,664,418,7,1311,278,At T0 (before resume strict diet),287,20,7,NA,,,1,-17.65,-1.192719535,0,,NA,,,,,,,,,
619,Adults,EF-Sustained attention,EF-Sustained attention,,Manti et al 2023,2023,RVP,speed,,RT,,,,526.1,78.4,7,1311,278,At T0 (before resume strict diet),332.7,22.2,7,NA,-3.36,,1,-8.16,,0,,NA,,,,,,,,,
620,Adults,EF-Sustained attention,EF-Sustained attention,,Manti et al 2023,2023,RVP,accuracy,,Accuracy (% Errors),,,,17.4,7.3,7,1311,278,At T0 (before resume strict diet),6.4,1.6,7,NA,-2.08,,1,-6.44,,0,,NA,,,,,,,,,
621,Adults,Verbal memory and learning,Verbal memory and learning,,Manti et al 2023,2023,Paired associates verbal learning ,,,"Immediate recall, corr. Max = 45",,,,7.3,5.6,7,1311,278,At T0 (before resume strict diet),38.9,5.6,7,NA,,,-1,-5.28,,0,,NA,,,,,,,,,
622,Adults,Verbal memory and learning,Verbal memory and learning,,Manti et al 2023,2023,Paired associates verbal learning ,,,"Delayed recall, corr. Max = 9)",,,,1.3,1.3,7,1311,278,At T0 (before resume strict diet),6.3,1.1,7,NA,,,-1,-4.26,,0,,NA,,,,,,,,,
623,Adults,Verbal memory and learning,Verbal memory and learning,,Manti et al 2023,2023,Word-list learning,,,"Rey Immediate recall (Trial A1-A5, max = 75)",,,,31.4,5.4,7,1311,278,At T0 (before resume strict diet),50.5,4.6,7,NA,,,-1,-3.89,,0,,NA,,,,,,,,,
624,Adults,Verbal memory and learning,Verbal memory and learning,,Manti et al 2023,2023,Word-list learning,,,"Rey Delayed Recall (Trial A6, n=15)",,,,5.8,2.6,7,1311,278,At T0 (before resume strict diet),11.1,1.3,7,NA,,,-1,-3.82,,0,,NA,,,,,,,,,
625,Adults,Verbal STM/WM,Verbal STM/WM,,Manti et al 2023,2023,Digit span,,,,,,,3.6,1,7,1311,278,At T0 (before resume strict diet),7.6,0.5,7,NA,,,-1,-7.49,,0,,NA,,,,,,,,,
626,Adults,Visuo motor control,Visuo motor control,,Manti et al 2023,2023,Grooved pegboard,speed,,Speed (s),,,,83.9,25.9,7,1311,278,At T0 (before resume strict diet),64.1,5.9,7,NA,,,1,-3.14,,0,,NA,,,,,,,,,
627,Adults,Visuo motor control,Visuo motor control,,Manti et al 2023,2023,Grooved pegboard,accuracy,,Accuracy (% of Errors),,,,1,1.8,7,1311,278,At T0 (before resume strict diet),0,0,7,no accuracy in Romani 2020,,,1,#DIV/0!,,0,,NA,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
629,Adults,Visual spatial attention speed,Visual spatial attention speed,,Manti et al 2023,2023,Choice detection-RT,speed,speed,RT,,,,485,90,7,1311,278,At T0 (before resume strict diet),384,25,7,NA,,,1,-3.78,,0,,NA,,,,,,,,,
630,Adults,Visual spatial attention speed,Visual spatial attention speed,,Manti et al 2023,2023,Conjoined search-RT,speed,speed,RT,,,,1320,394,7,1311,278,At T0 (before resume strict diet),844,55,7,NA,,,1,-8.1,,0,,NA,,,,,,,,,
631,Adults,Visual spatial attention speed,Visual spatial attention speed,,Manti et al 2023,2023,Detection w/distractors,speed,speed,RT,,,,507,105,7,1311,278,At T0 (before resume strict diet),404,26,7,NA,,,1,-3.71,,0,,NA,,,,,,,,,
632,Adults,Visual spatial attention speed,Visual spatial attention speed,,Manti et al 2023,2023,Feature search,speed,speed,RT,,,,880,282,7,1311,278,At T0 (before resume strict diet),515,53,7,NA,,,1,-6.45,,0,,NA,,,,,,,,,
633,Adults,Visual STM/WM,Visual STM/WM,,Manti et al 2023,2023,Corsi Block task ,,,Corsi Span,,,,4.2,0.6,7,1311,278,At T0 (before resume strict diet),8.7,0.5,7,NA,,,-1,-8.43,,0,,NA,,,,,,,,,
634,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,,Manti et al 2023,2023,Conjunction search-accuracy,accuracy,accuracy,Accuracy (max=36),,,,32.6,6.5,7,1311,278,At T0 (before resume strict diet),35.4,0.8,7,NA,,,-1,-3.28,,0,,NA,,,,,,,,,
635,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,,Manti et al 2023,2023,Detection w/distractors,accuracy,accuracy,Accuracy (max=64),,,,61.3,6.5,7,1311,278,At T0 (before resume strict diet),64,0.7,7,SD from Romani 2020,,,-1,-3.61,,0,,NA,,,,,,,,,
636,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,,Manti et al 2023,2023,Feature search,accuracy,accuracy,Accuracy (max=36),,,,33,6.7,7,1311,278,At T0 (before resume strict diet),36,0.43,7,SD from Romani 2020,,,-1,-6.53,,0,,NA,,,,,,,,,
637,Adults,Verbal STM/WM,Verbal STM/WM,,Manti et al 2023,2023,Nonword repetition ,,,Accuracy(max=64),,,,33.9,5.9,7,1311,278,At T0 (before resume strict diet),56.4,3.8,7,NA,4.53,,-1,-5.54,,0,,NA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,Adults,EF-Inhibitory control,EF-Inhibitory control-baseline,ES_large,De Felice et al 2019,2019,Hayling Sentence Completion A-accuracy,accuracy,accuracy,Hayling Sentence Completion Test - Part 2  - N Errors,,,,1.4,0.6,22,751,,,1.3,0.5,25,25,,-0.18,1,-0.2,0.04,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
